交易对方分析结果：
格式：商家名称 (出现次数)

饿了么 (513)
App Store & Apple Music (450)
滴滴出行 (284)
美团 (212)
高德打车 (127)
王记小厨(玉古路店) (114)
中国铁路网络有限公司 (87)
哈啰出行 (87)
iCloud 由云上贵州运营 (81)
美团点评 (80)
迅雷 (75)
浙江大学医学院附属口腔医院 (68)
浙江太古可口可乐饮料有限公司 (64)
luckincoffee (49)
全家便利店(杭州区域店) (46)
浙江大学 (44)
铁路12306 (41)
兰德力效率自助洗衣 (40)
弯弯川 (39)
高德打车入驻商户 (37)
深圳市活力旅行社有限公司 (35)
红旗连锁 (35)
上海都畅数字技术有限公司 (34)
新希望双峰 (34)
中国移动官方旗舰店 (33)
陈兴便利店 (31)
中国铁路总公司资金清算中心 (29)
合生好又多超市 (28)
淘票票-淘出好时光 (28)
上海新上铁实业发展集团有限公司 (25)
qq**9 (25)
商户_王琴英 (23)
杭州杭港地铁有限公司 (22)
洋子姐姐(欧阳洋子) (22)
合生国际城166幢湾湾川便利店 (22)
广东康景物业服务有限公司宁波分公司 (22)
湾湾川便利店 (21)
中国电信官方旗舰店 (19)
滴滴出行科技有限公司 (19)
刘氏绿康果业 (19)
浙江电信 (18)
P云停车平台 (18)
杭州公交出行 (17)
果果茶 (17)
乐汀记·鲜作面点（合生国际店） (16)
优衣库 (15)
顺丰速运 (14)
深圳市印力物业服务有限公司宁波分公司 (14)
中国电信 (14)
浙江小兰智慧科技有限公司 (13)
诗乐美台湾小吃 (13)
电子科技大学 (13)
宁波市安百利智慧停车服务有限公司 (13)
浙江医院 (12)
网商银行 (12)
拼多多平台商户 (12)
宁波市轨道交通集团有限公司运营分公司 (12)
q4**9 (12)
中国石化共享服务公司 (12)
醉清风旗舰店 (11)
永尚造型 (11)
皇冠花园三期 (11)
音全果园 (11)
沙州食驿·非遗小吃夜市 (11)
电信世纪龙专卖店 (10)
北京首汽智行科技有限公司 (10)
陈孟洪 (10)
宁波市第六医院 (10)
淘票票（电影） (10)
求是生活 (10)
科拓 (10)
*邦林 (9)
信用借还服务商 (9)
浙佳便利店 (9)
bananain蕉内旗舰店 (9)
得物 (9)
携程旅行网 (9)
凯州皇冠假日酒店 (9)
蛟川江燕面馆 (9)
北京轨道交通路网管理有限公司 (9)
CATTY (8)
豚魂日式拉面 (8)
宁波市镇海区庄市星佰伦服饰店 (8)
温州一鸣食品销售有限公司 (8)
上海华夜信息科技有限公司 (8)
淘票票-电影票 (7)
浙江菜鸟供应链管理有限公司 (7)
淘票票-电影 (7)
宁波宜家家居有限公司 (7)
欧阳洋子 (7)
收钱码店主 (7)
浙江同力信息科技有限公司 (7)
肯德基(庄市万科KFC) (7)
宁波市医疗中心李惠利医院东部院区 (7)
中国石化浙江石油分公司 (7)
罗森(杭州浙大玉湖店） (7)
顺丰速运有限公司 (6)
浙江大学教育超市(玉泉店) (6)
zmi旗舰店 (6)
友宝 (6)
徐志强 (6)
支付宝红包 (6)
东院水果吧 (6)
绿联数码旗舰店 (6)
喜馋卤肉饭 (6)
庆丰农贸市场18号鲜内摊位 (6)
浙江省商业集团有限公司 (6)
玉古路店（杭州） (6)
天猫小店 (6)
世纪东方商业广场 (6)
zh**8 (6)
宁波影秀城酒店管理有限公司北仑分公司 (6)
中石化碧辟（浙江）石油有限公司 (6)
浙大学生公寓 (6)
瑞幸**店 (6)
bbf266 (5)
刘春芳 (5)
洋子姐姐 (5)
秦财富 (5)
成都地铁运营有限公司 (5)
武汉亚惠 (5)
宁波市公安局交通警察局 (5)
亿嘻休闲吧(浙江大学玉泉校区店) (5)
小米 (5)
宁波新城吾悦商业管理有限公司 (5)
金投健康 (5)
中国移动和包官方旗舰店 (5)
大东方超市 (5)
付强 (5)
肯德基(黄龙恒励餐厅) (5)
杭州市满宏图文工作室 (5)
阿丽小超市 (5)
浙大新宇 (5)
自助售货机 (5)
潘重九口腔门诊部 (5)
嘉兴一鸣食品销售有限公司 (5)
宁波宅慧影贸易有限公司 (5)
淘票**影 (5)
宁波市镇海区庄市什煨火锅店 (5)
淑杭 (4)
正新鸡排(杭州浙大店) (4)
达克布蕾(玉泉店) (4)
名创优品 (4)
陈淑杭 (4)
李荣芝 (4)
桃花潭水深似海 (4)
杭州市民卡 (4)
上海钧正网络科技有限公司 (4)
久赞深海水产·寿司(嘉里中心店) (4)
赤尾旗舰店 (4)
宁波市医疗中心李惠利医院 (4)
闪魔旗舰店 (4)
孙章君 (4)
天友旗舰店 (4)
中国人寿财产保险股份有限公司 (4)
代颖超 (4)
君宝话费充值专营店 (4)
北京阳光zone (4)
我是月儿 (4)
少数派sspai (4)
宁波市镇海区财政局 (4)
宁波市财政局 (4)
泾河新城富瑞召开喜服装店 (4)
北京停简单信息技术有限公司 (4)
浙江大学校医院 (4)
捷停车 (4)
上海吉熙文化传播有限公司 (4)
越王勾践 (4)
宁波市镇海德仁一訫堂大药房有限公司合生分 (4)
罗森便利店 (4)
中国邮政速递物流 (4)
*爱莉 (4)
老徐生鲜 (4)
…依稀:) (3)
HQG， Limited (3)
自助售卡充值机 (3)
力博图文 (3)
李汉明 (3)
宁波仕远影视文化传播有限公司 (3)
汉堡王(来福士) (3)
一鸣真鲜奶吧(宁波动车站奶吧) (3)
食匠1902美食广场(万科广场店) (3)
南洋往事(1902万科广场店) (3)
只图便宜啊 (3)
宁波市镇海区庄市街道社区卫生服务中心 (3)
北京嘉信浩远信息技术有限公司 (3)
杭州青奇科技有限公司 (3)
武汉屈臣氏个人用品商店有限公司 (3)
艾米美发工作室 (3)
乡村基(财富又一城店) (3)
86悅巢秘境酒店 (3)
杭州启园食品超市有限公司 (3)
宁波城隍庙小吃城 (3)
来士 (3)
君峰 (3)
杭州市地铁集团有限责任公司运营分公司 (3)
杭州市唯秀娱乐管理有限公司 (3)
1 点 点(文三路店) (3)
甜咪的水晶屋 (3)
十足(古翠二店Y) (3)
明明 (3)
庆丰人家（咸肉店） (3)
庆丰农贸市场肉类方土根 (3)
杨晓林 (3)
夏少微 (3)
梦创旗舰店 (3)
么哈(西湖兰家湾店) (3)
江苏省财政厅 (3)
老婆大人三门县新兴街分店 (3)
宁波市湾湾川生态逸夫路店 (3)
申彩旗舰店 (3)
深圳优旅旅游专营店 (3)
月湖盛园停车场 (3)
扫码点单店主 (3)
新鲜水果店（浙江大学店） (3)
优衣库宁波世纪东方店 (3)
联动云租车 (3)
宁波植物园景区管理有限公司 (3)
温州一鸣 (3)
京东便利店金座店 (3)
深圳**司 (3)
百度 (3)
Omio Services GmbH (3)
排骨饭 (3)
高德酒店 (3)
好利来(天一广场店) (3)
裕达科技 (3)
卤儿道道（龙游路店） (3)
杭州菜鸟供应链管理有限公司 (3)
海南有趣（ToDesk） (3)
舟山市旅游客车运输有限公司 (3)
服务**机 (3)
上海姗悦文化传媒有限公司 (3)
宁波市第一医院 (3)
亓龙 (3)
茶话弄（宁波镇海开元广场店） (3)
梅州市顺意商贸有限公司 (3)
吾悦广场 (3)
翡锦堂中国披萨（镇海炼化店） (3)
浙江新城数字科技有限公司 (3)
Steam (3)
十足便利店 (3)
宁波鄞州区麦田兰斐婚纱摄影工作室 (3)
沈晓飞168 (2)
来伊份官方旗舰店 (2)
商户简称：小米网 (2)
支付宝（杭州）信息技术有限公司 (2)
杭州骑迹科技有限公司 (2)
迅销（中国）商贸有限公司 (2)
duang、 (2)
杭州市财政局 (2)
8舍小卖部 (2)
*伟平 (2)
宁波市镇海为民龙成药店庄市店 (2)
浙江移动官方旗舰店 (2)
酷飞在线信息科技南京有限公司 (2)
北京拜克洛克科技有限公司 (2)
宁波镇海潘重九口腔门诊部 (2)
成都伊藤洋华堂有限公司 (2)
あかり(张心怡) (2)
龙素芬 (2)
汉丽轩韩式自助烤肉（SM广场店） (2)
松下电器旗舰店 (2)
Today便利店(菩提金店) (2)
通程百货商业广场(麓山店) (2)
tyakasha官方旗舰店 (2)
bgr旗舰店 (2)
天瑞网充值专营店 (2)
KVMCloud (2)
蓝月亮官方旗舰店 (2)
恒好用车 (2)
全家便利店(上海区域店) (2)
浙江艺能影院经营管理有限公司 (2)
rebecca (2)
搞手机的绅士 (2)
淘票票-卖品 (2)
rebecca(付尧) (2)
Stripe Inc (2)
